term,coefficient
Intercept,31811.52940200877
temp_c,634.3494017646548
humidity,-49.24212175780512
log_precip,-2492.660477028882
windspeed,-168.0573989370845
solarradiation,29.578036987158757
visibility,117.15138612140417
sin_doy,-1434.2493151978258
temp_wknd,238.3050503759902
rain_wknd,-741.5266332152865
covid,-536.287612180016
xmas,-8340.905347209255
post2023,-2563.893044955743
p_temp_c,-393.4972333796515
p_temp_c2,-16.950604169720445
p_log_precip,1150.2552953835616
p_visibility,-98.64570230713702
day_Mon,0.0
day_Tue,2281.192588147664
day_Wed,2545.1643864506307
day_Thu,2444.8596105820464
day_Fri,799.5890398642398
day_Sat,-898.9148489709664
day_Sun,-3246.9986211756534
